cid,zcmb,MU_SH0ES,u_mean,g_mean,r_mean,i_mean,z_mean,u_median,g_median,r_median,i_median,z_median,z_diff_mean,z_diff_median
199,0.3716,41.3842,20.71239736842105,20.13543802631579,19.558169868421054,19.295714868421054,18.843792368421052,20.547575000000002,20.078384999999997,19.43172,19.1374,18.576065,7.106578947377779e-06,3.650000000021655e-06
202,0.61988,42.7557,21.440345200000003,20.7318876,20.367110399999998,19.8983267,19.7523867,21.431865000000002,20.912329999999997,20.468004999999998,19.951195,19.784095,-0.00022133899999998547,-0.0002090999999999615
215,0.4666,42.048,21.9345188,20.918792800000002,20.191012,19.6407647,19.343766000000002,21.96799,21.13382,20.22972,19.589795,19.269935,-6.391600000001602e-05,-7.300000000001745e-05
220,0.21982,40.0616,20.497318194444446,19.784523749999998,19.088696527777778,18.66871597222222,18.578256944444444,20.045355,19.29428,18.687805,18.34,18.20809,1.696250000001244e-05,1.200000000001195e-05
236,0.19602,39.7288,20.36886,19.535501587301585,18.742315238095237,18.247633968253968,18.045896349206348,19.84876,19.0633,18.31161,17.89005,17.68544,2.4146031746031272e-05,5.45000000000128e-05
420,0.31152,41.0123,20.634802133333334,19.919537733333332,19.32359813333333,19.11325706666667,18.642445333333335,20.43252,19.75931,18.9127,18.70869,18.18238,1.7666666666652092e-05,1.60999999999633e-05
744,0.12694,38.6849,19.78550195652174,18.82887739130435,18.178670217391304,17.74836391304348,17.66866,19.257365,18.409395,17.748694999999998,17.23355,17.10429,-1.5899999999999235e-05,3.9200000000003053e-05
762,0.19009,39.8807,20.711755081967212,20.083139344262296,19.189079508196723,18.7909431147541,18.543300163934425,20.19809,19.31162,18.51327,18.08942,17.96026,3.1644262295074106e-05,1.91999999999969e-05
1032,0.12904,38.8403,19.838493050847458,18.92416406779661,18.2767306779661,17.744113050847456,17.48166118644068,19.26857,18.17368,17.4816,17.02098,16.77699,2.6100000000010484e-05,2.90000000000012e-05
1112,0.25609,40.5593,20.53456475,19.845046125,19.224425500000002,18.916751625,18.59404175,19.90048,19.475495,18.834935,18.545065,18.151654999999998,3.942625000001719e-05,5.4650000000017104e-05
1119,0.29639,40.9938,20.025645531914893,19.59164021276596,19.01523255319149,18.75876765957447,18.252135531914895,19.58744,19.33048,18.76517,18.46186,17.98598,-4.2021276595731626e-05,-7.04999999999733e-05
1241,0.08848,37.7772,19.589536000000003,18.259869428571427,17.574070571428575,17.058404857142857,16.921256285714286,18.8164,17.6503,17.17091,16.63815,16.45571,-1.646971428571611e-05,-5.07500000000021e-05
1253,0.26166,40.392,20.26070142857143,19.53626557142857,18.807605285714285,18.638436000000002,18.28065614285714,19.642789999999998,19.20861,18.58681,18.323235,17.9548,5.617999999999527e-05,0.00010834999999997905
1316,0.21566,40.2253,20.383678219178083,19.70243410958904,19.0477698630137,18.622209452054793,18.460798356164382,19.89173,19.19275,18.46356,18.03421,17.92419,1.3952054794530503e-05,2.78999999999973e-05
1371,0.11797,38.4157,19.835219454545452,18.872684545454547,18.158834545454546,17.67346890909091,17.419171454545456,19.11445,18.288,17.54892,17.10885,16.88161,1.2647272727266771e-05,-7.40000000000462e-06
1580,0.18216,39.5259,19.90796463768116,19.2492384057971,18.60668637681159,18.105930579710144,17.970545072463768,19.54936,18.84649,18.22948,17.80833,17.67462,-1.176376811592958e-05,6.50000000002037e-06
1688,0.35767,41.3574,20.35739488095238,19.778404166666668,19.292059523809524,19.10854988095238,18.69881119047619,19.866880000000002,19.554184999999997,19.019035000000002,18.842840000000002,18.373845,3.78250000000144e-05,6.88500000000091e-05
1794,0.1407,39.1775,19.946109555555555,18.982004222222223,18.229791111111112,17.68449711111111,17.525699555555555,19.25538,18.25204,17.55068,17.0396,16.88843,-7.266666666659773e-06,3.85999999999997e-05
2017,0.26162,40.6874,20.223822238805973,19.511250597014925,18.787889850746268,18.634869253731342,18.28230656716418,19.63202,19.17469,18.53107,18.27403,17.92508,5.705074626863593e-05,0.000105799999999989
2031,0.15186,39.0477,20.019687746478876,19.050121690140845,18.393018169014084,17.889665211267605,17.67576985915493,19.47685,18.55328,17.81243,17.33302,17.10901,-8.147887323943274e-05,-0.000120900000000007
2165,0.28882,40.9433,20.364550441176473,19.8430225,19.170537205882354,19.074032205882354,18.63692514705882,20.004955000000002,19.646625,18.94016,18.70998,18.304895000000002,-1.92485294117827e-05,-3.0550000000018e-05
2246,0.19422,39.8787,21.033242592592593,20.175333086419755,19.55211975308642,19.051371234567902,18.809053703703704,20.23314,19.55968,18.77954,18.3313,18.18863,-1.6138271604942137e-05,-1.57000000000073e-05
2308,0.14923,39.1104,20.367080810810812,19.338728918918918,18.575972297297298,18.056907702702702,17.841648378378377,19.76612,18.655425,17.916455,17.514490000000002,17.35702,6.606756756755043e-06,1.364999999999001e-05
2372,0.17959,39.5519,20.26498608108108,19.55840472972973,18.861380135135136,18.363961351351353,18.182143918918918,19.631815000000003,18.905245,18.250565,17.802915,17.65269,-3.354999999999852e-05,-4.9699999999999704e-05
2422,0.2657,40.6087,20.40566802631579,19.81763302631579,19.16742289473684,18.847918421052633,18.46699539473684,19.755575,19.31442,18.72747,18.381435,18.037844999999997,-5.952631578939558e-06,2.3750000000016752e-05
2440,0.1903,39.9182,20.657196612903228,20.068522258064515,19.11525177419355,18.733689193548386,18.504652419354837,20.1455,19.294780000000003,18.554715,18.09055,18.029095,-1.2920967741931827e-05,1.555000000000305e-05
2533,0.34101,41.0641,20.67225910447761,20.06371895522388,19.50824268656716,19.319753880597016,18.804236716417908,20.03933,19.65039,19.3026,18.94616,18.46694,-4.2316417910431615e-05,-6.16999999999978e-05
2561,0.11741,38.5727,20.02594170212766,18.892636595744683,18.21471085106383,17.742843617021276,17.495771914893616,19.4402,18.17465,17.32063,16.82592,16.63993,1.7104255319147915e-05,7.55999999999951e-05
2635,0.14311,39.047,19.99142695652174,19.02998456521739,18.28497739130435,17.765632391304347,17.565490869565217,19.538595,18.530045,17.733635,17.226955,17.18992,4.4204347826099424e-05,7.585000000001616e-05
2689,0.16036,39.2057,19.584926603773585,18.876602452830188,18.247113018867925,17.797157547169814,17.59340490566038,19.14093,18.42359,17.72269,17.33711,17.13828,3.962264150684818e-08,1.14999999999976e-05
2789,0.2889,40.7428,20.41981220588235,19.87554882352941,19.193418529411765,19.079322352941176,18.647633088235295,20.10903,19.652065,18.994970000000002,18.809655,18.36287,-6.230882352928438e-06,2.15000000000631e-06
2916,0.12303,38.5967,19.634469393939394,18.72934393939394,18.07204272727273,17.519758484848484,17.313775454545457,19.11501,18.13964,17.51961,17.09951,16.90347,-2.4212121212122345e-05,1.96999999999974e-05
2943,0.26405,40.5074,20.475123333333332,19.90203893939394,19.157800606060604,18.790662121212122,18.394527727272727,19.785145,19.36905,18.825975,18.51341,18.070925,-1.3159090909097569e-05,-4.9900000000019346e-05
2992,0.12608,38.4956,19.780509642857144,18.660854464285713,17.923340357142855,17.43430857142857,17.256583928571427,19.21868,18.008145,17.39654,16.879244999999997,16.68395,2.7696428571451277e-06,3.780000000000445e-05
3080,0.17315,39.3871,20.500072272727273,19.87752181818182,19.04128977272727,18.469268863636362,18.27516818181818,19.982120000000002,18.801405,18.20556,17.803165,17.691205,-3.4043181818179774e-05,-2.22500000000014e-05
3087,0.16431,39.2634,20.01118641509434,19.2221479245283,18.654630188679246,18.20205358490566,18.00638320754717,19.46747,18.62321,18.01868,17.53433,17.52479,-2.4364150943407617e-05,-6.74999999999981e-05
3199,0.24961,40.6733,20.32412095238095,19.786258412698412,19.031223174603173,18.65071015873016,18.32420619047619,19.9509,19.32592,18.76828,18.39535,18.10565,-2.8780952380952082e-05,-4.09000000000103e-05
3256,0.10694,38.4295,19.877970425531913,18.79592510638298,18.15202255319149,17.67466,17.38481085106383,19.40764,17.8219,17.00687,16.44108,16.57428,-4.0108510638290654e-05,-0.000139799999999995
3317,0.15991,39.2286,19.733060000000002,18.972161190476193,18.34316595238095,17.87806261904762,17.665918095238094,19.211135,18.38952,17.735535,17.336644999999997,17.108510000000003,5.5616666666670596e-05,4.715000000000965e-05
3377,0.24449,40.1263,20.442225479452052,19.924050821917806,19.13334095890411,18.709808493150685,18.471257534246575,20.11467,19.62561,18.81285,18.35579,18.14553,-4.37452054794647e-05,-7.88000000000177e-05
3451,0.24835,40.203,20.569676216216216,19.822511081081082,19.173836756756756,18.820240675675674,18.555038918918918,20.02091,19.638595,18.872005,18.447085,18.22022,3.4629729729743154e-05,2.8850000000010798e-05
3452,0.22967,40.1351,20.39661233766234,19.692005194805194,19.029372727272726,18.572173506493506,18.425244805194804,19.80586,19.23425,18.53467,18.11708,18.01283,3.891428571427241e-05,4.16999999999778e-05
3592,0.08544,37.8406,19.670795714285717,18.57165551020408,17.743471632653062,17.22219102040816,16.90901918367347,19.09085,17.7658,16.97629,16.53359,16.2745,4.904693877548158e-06,3.0329999999995e-05
4000,0.27656,40.8504,20.16545725,19.68327725,19.11093425,18.844122,18.421895499999998,19.726889999999997,19.3168,18.74896,18.487225000000002,18.048575,-2.4314999999971255e-05,-5.5549999999959744e-05
4046,0.27764,40.6186,20.54270214285714,19.8542575,19.19088107142857,18.906663035714285,18.410400000000003,20.08482,19.654755,18.857770000000002,18.528775,18.086,3.0860714285714465e-05,1.2399999999995714e-05
4241,0.33052,41.1689,20.380166785714287,19.80215625,19.170242857142856,18.939390357142855,18.428780535714285,20.01626,19.742710000000002,18.950654999999998,18.734845,18.16645,-3.077678571427153e-05,-5.229999999997735e-05
5103,0.1606,39.2162,19.72227,19.129332727272725,18.545864545454545,18.10363690909091,17.902021636363635,19.27797,18.65057,17.90534,17.46734,17.25474,-6.910545454544665e-05,-0.000120999999999982
